id;pi;pj;dij;fij
1;5675;17691;149.477;202
2;5675;1699;118.49;163
3;5675;346;263.264;55
4;5675;492;63.476;4
5;5675;961;135.857;201
6;5675;920;110.311;159
7;5675;1162;179.27;99
8;5675;726;237.479;80
9;5675;1551;89.876;152
10;5675;604;192.456;402
11;5675;892;74.583;211
12;5675;1337;118.376;89
13;5675;875;198.93;80
14;5675;736;115.007;80
15;5675;2953;118.367;285
16;5675;808;172.829;158
17;5675;10225;677.812;28
18;5675;930;756.108;13
19;5675;647;587.97;19
20;5675;838;620.083;8
21;5675;663;735.662;8
22;5675;4049;786.013;18
23;5675;827;623.935;5
24;5675;11619;825.217;139
25;5675;1382;819.093;14
26;5675;55521;1049.577;102
27;5675;1221;915.643;5
28;5675;7281;1041.765;19
29;5675;8560;1064.866;17
30;5675;515;937.427;1
31;5675;1564;1014.718;22
32;5675;2390;1114.647;4
33;5675;852;930.315;4
34;5675;1009;1298.271;3
35;5675;496;849.444;4
36;5675;1047;1000.41;8
37;5675;2616;945.901;5
38;5675;189;1029.109;1
39;5675;1644;865.238;6
40;5675;37177;1086.347;101
41;5675;810;1230.595;6
42;5675;1844;1366.307;6
43;5675;1421;1086.872;7
44;5675;3363;1105.581;15
45;5675;4803;1131.312;48
46;5675;6981;1342.943;24
47;5675;482;1371.342;3
48;5675;471;1412.209;13
49;5675;185;1444.32;4
50;5675;2858;1005.305;72
51;5675;523;1234.13;3
52;5675;454;1204.097;3
53;5675;217;1002.183;1
54;5675;2314;1139.345;7
55;5675;300;1394.826;2
56;5675;655;1102.98;6
57;5675;433;1245.002;4
58;5675;5086;1180.005;34
59;5675;761;1269.683;37
60;5675;458;1265.329;5
61;5675;744;1341.528;7
62;5675;513;906.602;7
63;5675;757;1101.743;17
64;5675;259;1202.884;9
65;5675;286;1077.093;14
66;5675;426;1135.248;9
67;5675;5313;1326.13;45
68;5675;315;1308.623;6
69;5675;113;1241.592;5
70;5675;180;1377.778;8
71;5675;112;1923.415;25
72;5675;129;1555.534;1
73;5675;625;1902.876;39
74;5675;454;1366.452;2
75;5675;419;1169.327;2
76;5675;137;1062.493;3
77;5675;421;989.117;1
78;5675;391;1116.147;9
79;5675;142;1713.691;16
80;5675;3188;1489.901;40
81;5675;1762;1703.666;58
82;5675;122;1496.96;7
83;5675;18703;466.518;99
84;5675;1730;544.267;6
85;5675;536;513.342;6
86;5675;2415;532.033;37
87;5675;1730;425.454;55
88;5675;5092;546.739;62
